Light,Temperature,Humidity,Result
19.00,         41.00,         64.00,         2.00
31.00,         28.00,         95.00,         1.00
38.00,         34.00,         70.00,         2.00
37.00,         28.00,         38.00,         3.00
42.00,         31.00,         20.00,         3.00
48.00,         36.00,         32.00,         4.00
12.00,         28.00,         60.00,         2.00
10.00,         39.00,         27.00,         2.00
21.00,         33.00,         62.00,         2.00
5.00,         31.00,         42.00,         1.00
2.00,         35.00,         32.00,         1.00
48.00,         28.00,         30.00,         3.00
18.00,         26.00,         35.00,         1.00
2.00,         38.00,         45.00,         2.00
17.00,         44.00,         53.00,         2.00
46.00,         34.00,         26.00,         3.00
41.00,         38.00,         76.00,         3.00
21.00,         41.00,         64.00,         2.00
0.00,         28.00,         41.00,         1.00
21.00,         27.00,         27.00,         1.00
36.00,         28.00,         25.00,         3.00
34.00,         40.00,         28.00,         3.00
4.00,         33.00,         36.00,         1.00
43.00,         41.00,         33.00,         4.00
1.00,         24.00,         54.00,         1.00
17.00,         28.00,         76.00,         2.00
22.00,         36.00,         98.00,         1.00
43.00,         39.00,         73.00,         3.00
18.00,         35.00,         83.00,         2.00
1.00,         38.00,         45.00,         2.00
30.00,         34.00,         71.00,         2.00
43.00,         30.00,         83.00,         2.00
40.00,         34.00,         87.00,         2.00
41.00,         38.00,         75.00,         3.00
35.00,         42.00,         91.00,         1.00
20.00,         37.00,         46.00,         2.00
16.00,         28.00,         77.00,         2.00
33.00,         41.00,         94.00,         1.00
19.00,         27.00,         31.00,         1.00
14.00,         35.00,         49.00,         2.00
21.00,         36.00,         34.00,         2.00
33.00,         32.00,         84.00,         2.00
35.00,         28.00,         41.00,         2.00
37.00,         35.00,         52.00,         4.00
16.00,         42.00,         80.00,         2.00
12.00,         30.00,         33.00,         2.00
39.00,         37.00,         24.00,         4.00
7.00,         42.00,         46.00,         2.00
3.00,         23.00,         50.00,         1.00
25.00,         42.00,         71.00,         2.00
22.00,         36.00,         51.00,         2.00
40.00,         30.00,         62.00,         2.00
34.00,         42.00,         82.00,         2.00
48.00,         27.00,         74.00,         1.00
19.00,         42.00,         32.00,         2.00
29.00,         35.00,         75.00,         2.00
26.00,         42.00,         61.00,         2.00
33.00,         36.00,         96.00,         1.00
40.00,         36.00,         28.00,         4.00
39.00,         44.00,         29.00,         4.00
25.00,         37.00,         32.00,         3.00
5.00,         39.00,         42.00,         2.00
25.00,         35.00,         94.00,         2.00
45.00,         36.00,         34.00,         4.00
24.00,         43.00,         90.00,         1.00
37.00,         30.00,         88.00,         1.00
31.00,         30.00,         31.00,         2.00
2.00,         30.00,         22.00,         1.00
25.00,         36.00,         92.00,         1.00
2.00,         43.00,         28.00,         2.00
34.00,         31.00,         73.00,         2.00
47.00,         37.00,         75.00,         3.00
43.00,         40.00,         58.00,         3.00
24.00,         31.00,         37.00,         2.00
35.00,         44.00,         76.00,         2.00
43.00,         25.00,         97.00,         1.00
1.00,         41.00,         94.00,         1.00
16.00,         31.00,         54.00,         2.00
9.00,         25.00,         23.00,         1.00
45.00,         33.00,         52.00,         3.00
21.00,         33.00,         34.00,         2.00
20.00,         39.00,         51.00,         2.00
29.00,         35.00,         39.00,         2.00
26.00,         24.00,         35.00,         1.00
45.00,         42.00,         35.00,         4.00
39.00,         43.00,         79.00,         3.00
41.00,         32.00,         23.00,         3.00
17.00,         26.00,         89.00,         1.00
19.00,         43.00,         50.00,         2.00
10.00,         36.00,         67.00,         2.00
46.00,         39.00,         66.00,         3.00
25.00,         25.00,         65.00,         1.00
22.00,         35.00,         59.00,         2.00
13.00,         27.00,         29.00,         1.00
41.00,         39.00,         61.00,         3.00
30.00,         30.00,         51.00,         2.00
36.00,         24.00,         63.00,         1.00
26.00,         40.00,         75.00,         2.00
28.00,         31.00,         67.00,         2.00
39.00,         44.00,         31.00,         4.00
5.00,         42.00,         33.00,         2.00
28.00,         29.00,         93.00,         1.00
27.00,         23.00,         70.00,         1.00
49.00,         28.00,         88.00,         1.00
